video_id,fetched_date,views,likes,comments
KaLJrRJrACk,2026-01-16,15052,1496,16
t1b-g7kgXrE,2026-01-16,123989,9762,510
9pDnTYVQp24,2026-01-16,23329,1315,11
gMZymP8IU8Y,2026-01-16,15343,1120,26
9sy-Lv7nuZs,2026-01-16,119120,9954,467
U2u7qsRCWk0,2026-01-16,59977,3301,85
gtnZxASCq3E,2026-01-16,91434,4820,117
y9DistXsxZ0,2026-01-16,175998,11151,437
Go4jMUSMOzg,2026-01-16,50710,4119,64
zqSV1UB58_Q,2026-01-16,235404,13735,689
qvh62q83Mdc,2026-01-16,80396,6727,145
agcy-GdBuwc,2026-01-16,206545,10835,515
PixnXCBRE4A,2026-01-16,169918,10655,535
Jzh-lE3hjhQ,2026-01-16,168089,11018,433
PndTuE8Ef70,2026-01-16,81528,6125,375
UQS8I_BRCOk,2026-01-16,115238,4112,75
73wtXkCTugs,2026-01-16,97687,5779,400
6x_J1A5qVv0,2026-01-16,173157,10313,925
69rWbmqtQ9Q,2026-01-16,223981,12686,503
oZtiFhCZ_A8,2026-01-16,92069,3470,53
KaLJrRJrACk,2026-01-16,15052,1496,16
t1b-g7kgXrE,2026-01-16,123989,9762,510
9pDnTYVQp24,2026-01-16,23329,1315,11
gMZymP8IU8Y,2026-01-16,15343,1120,26
9sy-Lv7nuZs,2026-01-16,119120,9954,467
U2u7qsRCWk0,2026-01-16,59977,3301,85
gtnZxASCq3E,2026-01-16,91434,4820,117
y9DistXsxZ0,2026-01-16,176000,11151,437
Go4jMUSMOzg,2026-01-16,50710,4119,64
zqSV1UB58_Q,2026-01-16,235404,13735,689
qvh62q83Mdc,2026-01-16,80396,6727,145
agcy-GdBuwc,2026-01-16,206545,10835,515
PixnXCBRE4A,2026-01-16,169918,10655,535
Jzh-lE3hjhQ,2026-01-16,168089,11018,433
PndTuE8Ef70,2026-01-16,81528,6125,375
UQS8I_BRCOk,2026-01-16,115238,4112,75
73wtXkCTugs,2026-01-16,97687,5779,400
6x_J1A5qVv0,2026-01-16,173157,10313,925
69rWbmqtQ9Q,2026-01-16,223981,12686,503
oZtiFhCZ_A8,2026-01-16,92069,3470,53
1jd6n4D8agU,2026-01-17,6221,951,130
ZEd6NqUHsBI,2026-01-17,52772,6059,98
UzB3acLOggQ,2026-01-17,187818,12264,93
DLbw3lAkfoE,2026-01-17,242644,16305,77
HS7Jhr61zzI,2026-01-17,619746,28011,1154
ZuPEAvdZFzY,2026-01-17,809628,40276,8060
Pp_6y2Hm2vU,2026-01-17,331576,26000,149
Hjua0eKoxPo,2026-01-17,295335,15847,92
0kLYzxEKxdc,2026-01-17,45254,2631,22
QbqD8ltC3GY,2026-01-17,562948,20244,773
_dFu__rIkXg,2026-01-17,458248,15541,1519
R94ddNOnf7c,2026-01-17,89428,4932,43
RHGxjJvgiNA,2026-01-17,351138,13197,1155
SqV9pbH-JxM,2026-01-17,432177,17143,758
jKG8RlyCjVQ,2026-01-17,452198,15732,452
x4M6xeOeKLo,2026-01-17,584019,22315,1024
bGT6vJgk6aM,2026-01-17,961844,28673,824
mNtmuzHOK3c,2026-01-17,305979,14744,563
7pkuejKwwFw,2026-01-17,161922,8983,82
qwCHDqWa_00,2026-01-17,787301,25476,618
wSh8fAFWEWs,2026-01-18,10947921,349023,7558
3GNyw4uaAqU,2026-01-18,158574372,2388451,87068
ywIcdSNJolo,2026-01-18,46344817,1241112,10073
QJI0an6irrA,2026-01-18,85925974,2169955,101597
mktYW177p6U,2026-01-18,214218076,3720138,14451
Ah_uuTwGOYU,2026-01-18,93296449,1794869,63441
HISfrcjiNPM,2026-01-18,32987644,839109,11496
3RmOvxilbPM,2026-01-18,98392474,1846618,82654
26QQE7EsnLA,2026-01-18,30596502,1208954,15825
JgJrQnDIRgg,2026-01-18,56959474,1741418,8968
oBXSvS2QKxU,2026-01-18,147196427,2702583,50242
oiZvK6MY7tI,2026-01-18,91377745,2445943,9024
zo7i8VTpfNM,2026-01-18,113343108,2175174,30806
TDv56whosPQ,2026-01-18,140327435,3007550,41927
R_BmT1OJw98,2026-01-18,201071463,3114230,18407
V6In4tmd-w8,2026-01-18,101679065,2431970,13344
hTSaweR8qMI,2026-01-18,160512457,3437724,60740
c2ukL_zjFCk,2026-01-18,189110943,3533723,7525
Tbn4cYCaZCk,2026-01-18,499299131,6533635,10830
nAiKLoCP-kU,2026-01-18,499628170,7744333,9860
